id,1page_location
1692,[]
1693,"[u'cance', u'ecole polytechnique']"
1759,[u'universit\xe9 jean monnet']
1758,"[u'perpignan', u'orsay']"
1756,"[u'universit\xe9 de technologie de troyes', u'troyes']"
1755,"[u'lens', u""universit\xe9 d'artois""]"
1753,[u'lens']
1751,[u'orsay']
1750,"[u'bron', u'mende']"
1278,"[u'metz', u'insa', u'mont saint aignan']"
1279,"[u'lens', u'tunis', u""universit\xe9 d'artois""]"
144,"[u'universit\xe9 de lyon', u'bron']"
145,"[u'blois', u'universit\xe9 de tours']"
142,"[u'strasbourg', u'florence', u'universit\xe9 de strasbourg', u'agrocampus ouest', u'rennes', u'villers-l\xe8s-nancy']"
143,"[u'rocquencourt', u'chesnay']"
140,"[u'guyane', u'antilles']"
141,[u'upmc']
1270,"[u'orsay', u'universit\xe9 paris-sud']"
1271,"[u'pointe-\xe0-pitre', u'guadeloupe', u'universit\xe9 antilles-guyane']"
1272,[u'lannion']
1273,[u'talca']
1274,"[u'lens', u'yaound\xe9']"
1275,"[u'marseille', u'escadrille normandie-niemen']"
1276,[u'lannion']
1277,[u'lannion']
1285,"[u'universit\xe9 catholique de louvain', u'ucl']"
1284,[u'rennes']
1287,"[u'lens', u'tunis']"
1286,"[u'n\xeemes', u'montpellier']"
1281,[u'sidi bel abb\xe8s']
1280,[u'kyushu']
879,[u'universit\xe9 de nantes']
1289,"[u'universit\xe9 paris sud', u'orsay']"
1288,[u'universit\xe9 bordeaux i']
1578,[u'sophia antipolis']
689,"[u'1050 bruxelles', u'universit\xe9 libre de bruxelles']"
688,"[u'narbonne', u'toulouse']"
685,[u'paris-est']
1572,[u'villeurbanne']
687,"[u'brest', u'ensieta']"
686,[u'sophia antipolis']
681,[u'tripoli']
680,[u'universit\xe9 de gen\xe8ve']
683,"[u""universit\xe9 d'orl\xe9ans""]"
682,[u'tripoli']
623,"[u'universit\xe9 de lille 1', u'cit\xe9 scientifique']"
622,[]
621,"[u'universit\xe9 paris 6', u'upmc', u'ha noi', u'bondy', u'bobigny', u'universit\xe9 paris 13']"
133,[]
132,[u'universit\xe9 catholique de louvain']
131,[u'nouvelle cal\xe9donie']
130,"[u'universit\xe9 de haute-alsace', u'mulhouse']"
498,[u'universit\xe9 de bretagne-sud']
499,[u'sophia antipolis']
135,"[u'Sainte-Clotilde', u'chesnay']"
134,"[u'villetaneuse', u'universit\xe9 paris 13', u'sorbonne paris cit\xe9']"
494,"[u'talence', u'universit\xe9 de bordeaux']"
495,[u'grenoble']
496,[u'universit\xe9 de caen basse-normandie']
497,"[u'universit\xe9 paris 13', u'villetaneuse']"
490,"[u'rennes', u'saint-brieuc']"
491,[u'ecole centrale de paris']
492,"[u'villeurbanne', u'universit\xe9 de lyon', u'universit\xe9 lyon 1']"
493,"[u'universit\xe9 paris 13', u'villetaneuse']"
24,[u'monash university']
25,"[u'gentilly', u'verdun']"
26,"[u'bron', u'settat']"
27,"[u'blois', u'universit\xe9 fran\xe7ois rabelais de tours', u'clermont-ferrand']"
20,"[u'universit\xe9 lumi\xe8re lyon 2', u'bron']"
21,"[u'chiraz', u'tunis']"
22,"[u'illkirch', u'universit\xe9 de strasbourg']"
23,[u'tampa']
1220,[]
28,[u'universit\xe9 de bourgogne']
29,"[u'villetaneuse', u'universit\xe9 paris 13', u'sorbonne paris cit\xe9']"
137,[u'rennes']
1371,[u'lannion']
1370,[u'tunis']
1373,"[u'savio', u'massachusetts']"
1372,"[u'villar\xe9al', u'gallois']"
1375,"[u'metz', u'universit\xe9 de metz']"
1377,"[u'orsay', u'universit\xe9 paris-sud', u'montpellier', u'universit\xe9 montpellier 2']"
1376,[u'universit\xe9 paris 6']
1379,[u'skikda']
1378,"[u'rocquencourt', u'chesnay']"
629,"[u'universit\xe9 de lyon', u'universit\xe9 lumi\xe8re lyon 2', u'bron']"
628,[u'universit\xe9 de gen\xe8ve']
1691,[]
1212,"[u'universit\xe9 lumi\xe8re lyon 2', u'universit\xe9 de gen\xe8ve']"
456,[u'cergy-pontoise']
457,[]
379,"[u'universit\xe9 lumi\xe8re lyon 2', u'nozay']"
378,[]
829,"[u'illkirch', u'florence', u'vand\u0153uvre-l\xe8s-nancy', u'strasbourg']"
828,[u'lannion']
371,"[u'bobigny', u'tunis']"
370,[]
373,"[u'universit\xe9 jean monnet', u'tunis', u'saint-etienne']"
826,[u'katholieke universiteit leuven']
375,"[u'universit\xe9 paris 13', u'villetaneuse']"
374,"[u'karachi', u'pakistan', u'talence']"
823,"[u'sophia antipolis', u'montpellier']"
822,[u'rue de lyon']
146,"[u'universit\xe9 de lille', u'toulouse']"
709,[]
147,"[u'montpellier', u'aimargues']"
704,[u'universit\xe9 de montr\xe9al']
705,"[u'rocquencourt', u'sophia-antipolis']"
706,[u'bron']
707,"[u'maguelonne', u'montpellier']"
701,[u'recife']
702,[u'ecole centrale paris']
703,"[u'm\xe9es', u'tunis']"
80,"[u'hamamatsu', u'shizuoka', u'tokyo']"
81,[u'al hoceima']
1713,[u'bruz']
1712,[u'laval']
1717,[u'orsay']
1716,[u'metz']
1715,"[u'lens', u""universit\xe9 d'artois""]"
1719,"[u'universit\xe9 paris-sud', u'ulm']"
1718,"[u'universit\xe9 lumi\xe8re lyon 2', u'bron']"
1659,[u'iae de bordeaux']
1652,[u'universit\xe9 paris 6']
1653,"[u'bron', u'mende']"
1650,[]
1651,[]
1656,"[u'universit\xe9 de lausanne', u'hec']"
1654,"[u'narbonne', u'toulouse']"
1655,"[u'bellinzona', u'pau']"
148,"[u'universit\xe9 stendhal', u'grenoble']"
1698,"[u'bron', u'mende']"
149,[u'montpellier']
249,[]
248,"[u'blois', u'universit\xe9 fran\xe7ois rabelais']"
1436,[]
1437,[]
1434,[u'universit\xe9 ren\xe9 descartes']
1435,[u'grenoble']
1433,[u'lannion']
1430,[u'laval']
1431,[u'universit\xe9 jean monnet']
1438,"[u'iae', u'lyon iii']"
1439,[u'lannion']
519,[u'universit\xe9 de rennes']
518,"[u'santander', u'witten']"
1699,[u'universit\xe9 lumi\xe8re lyon 2']
1639,[u'montpellier']
511,[u'lannion']
510,[u'lannion']
513,[u'universit\xe9 de lille1']
512,"[u'universit\xe9 de caen basse-normandie', u'universit\xe9 de lyon', u'nancy', u'universit\xe9 lyon 1']"
515,"[u'chiraz', u'tunis', u'montpellier']"
517,[u'lannion']
458,"[u""universit\xe9 d'auvergne""]"
459,"[u'universit\xe9 de rennes', u'rennes', u'cantho']"
1225,[]
1224,[u'clamart']
627,"[u'tunis', u'universit\xe9 paris-sorbonne']"
626,"[u'universit\xe9 de caen', u'caen']"
625,"[u'mende', u'universit\xe9 montpellier 3', u'montpellier', u'universit\xe9 montpellier 2']"
624,[u'chypre']
450,"[u""boulevard de l'h\xf4pital""]"
451,"[u'universit\xe9 montpellier 3', u'universit\xe9 montpellier 2']"
452,"[u""universit\xe9 d'orl\xe9ans"", u'covilh\xe3']"
453,"[u'institut t\xe9l\xe9com', u't\xe9l\xe9com bretagne']"
454,[u'clamart']
455,"[u'villarceaux', u'nozay', u'villejust']"
1229,"[u'ha noi', u'sophia antipolis']"
1228,"[u'universit\xe9 de caen', u'caen', u'lannion']"
179,"[u'ucbn', u""universit\xe9 d'orl\xe9ans"", u'caen']"
177,"[u'universit\xe9 de toulouse', u'narbonne', u'florence', u'toulouse']"
176,[u'tel-aviv']
174,"[u'beaune', u'saint-etienne']"
173,"[u'universit\xe9 jean monnet', u'tunis', u'saint-etienne']"
172,[u'universit\xe9 de toulouse']
171,"[u'universit\xe9 lille 3', u'lille']"
170,[u'universit\xe9 paris 1 panth\xe9on-sorbonne']
656,[u'aix-marseille universit\xe9']
180,"[u'villetaneuse', u'universit\xe9 paris 13', u'sorbonne paris cit\xe9']"
182,"[u'mende', u'florence', u'um3', u'montpellier', u'chu']"
183,[u'sup\xe9lec']
654,"[u'institut telecom', u'telecom sudparis', u'villarceaux', u'nozay', u'villejust']"
181,"[u'universit\xe9 de rennes', u'lannion']"
652,"[u'illkirch', u'universit\xe9 de strasbourg']"
187,[u'universit\xe9 de rennes']
184,[u'university college dublin']
185,"[u'chiraz', u'tunis']"
186,[]
188,"[u'es senia', u'baghdad']"
189,[u'lannion']
658,"[u'villeurbanne', u'universit\xe9 de lyon', u'marseille']"
659,"[u'chiyoda-ku', u'tokyo']"
651,[u'universit\xe9 paris-iv sorbonne']
869,[u'universit\xe9 montpellier 2']
868,[]
15,"[u'saint-quentin-en-yvelines', u'versailles']"
17,"[u'universit\xe9 toulouse ii', u'narbonne', u'toulouse', u'urss']"
16,"[u""universit\xe9 d'auvergne"", u'upmc', u'clermont-ferrand']"
19,"[u'universit\xe9 de lyon', u'bron']"
18,"[u'universit\xe9 de lyon', u'bron', u'montpellier']"
863,"[u""universit\xe9 d'orl\xe9ans""]"
862,"[u'universit\xe9 de lyon', u'insa de lyon']"
865,"[u'ha\xeffa', u'universit\xe9 paris 13', u'orsay', u'universit\xe9 paris-sud', u'villetaneuse']"
864,[u'sophia antipolis']
867,[]
866,[]
1210,"[u'villeurbanne', u'universit\xe9 claude bernard lyon 1']"
1226,"[u'universit\xe9 lumi\xe8re lyon 2', u'bron']"
883,"[u'rennes', u'cantho']"
882,"[u'illkirch', u'universit\xe9 de strasbourg']"
881,[u'lannion']
880,[u'bobigny']
886,[]
885,[u'paris dauphine']
884,"[u'rocquencourt', u'recife', u'chesnay']"
1618,[u'compi\xe8gne']
1619,[u'orsay']
1616,[u'cran gevrier']
1617,"[u'facult\xe9s universitaires catholiques de mons', u'binche', u'fucam']"
1614,"[u'bron', u'mende']"
1615,[u'universit\xe9 paris 5']
1612,[u'universit\xe9 ren\xe9 descartes']
355,[u'iae de poitiers']
1610,"[u'universit\xe9 lumi\xe8re lyon 2', u'bron', u'maine']"
1611,[u'mont-saint-aignan']
323,[u'polit\xe9cnica de madrid']
354,"[u'fukuoka', u'kyushu']"
326,"[u'tunis', u'universit\xe9 paris-sorbonne']"
327,"[u'moscou', u'tch\xe8que', u'nancy', u'belo horizonte']"
324,"[u'universit\xe9 paris 13', u'villetaneuse']"
325,"[u'universit\xe9 de lyon', u'universit\xe9 de saint-\xe9tienne', u'saint-\xe9tienne']"
328,"[u'gif-sur-yvette', u'brito', u'supelec']"
329,[u'universit\xe9 bordeaux segalen']
201,"[u'universit\xe9 lyon 1', u'universit\xe9 de lyon', u'istanbul', u'universit\xe9 galatasaray']"
200,[u'sfax']
203,[]
202,[u'universit\xe9 lumi\xe8re lyon 2']
205,"[u'grenoble', u'sophia antipolis', u'montpellier']"
204,"[u'universit\xe9 paris descartes', u'stanford university']"
207,"[u'villeurbanne', u'universit\xe9 de lyon', u'universit\xe9 de saint-\xe9tienne', u'saint-\xe9tienne']"
206,[u'luxembourg']
208,[u'universit\xe9 fran\xe7ois rabelais de tours']
77,[u'tunis']
76,"[u'alger', u'blida']"
75,"[u'saint-s\xe9bastien-sur-loire', u'clisson']"
74,"[u'mulhouse', u'universit\xe9 de haute alsace']"
73,"[u'talence', u'vallet']"
72,"[u'universit\xe9 paris 13', u'villetaneuse']"
71,"[u""universit\xe9 d'angers""]"
70,"[u'agroparistech', u'universit\xe9 paris 13', u'paris-nord', u'sorbonne paris cit\xe9']"
655,[u'bron']
1571,"[u'enst bretagne', u'brest']"
79,"[u'universit\xe9 de lyon', u'universit\xe9 lyon 1', u'universit\xe9 claude bernard lyon 1']"
78,"[u'brest', u'universit\xe9 de bretagne occidentale']"
1040,"[u'pau', u'adour']"
1577,[u'marseille']
1048,[u'universit\xe9 laval']
1576,"[u'stanford university', u'universit\xe9 ren\xe9 descartes']"
1681,[u'lannion']
1683,"[u'marseille', u""th\xe9\xe2tre antique d'arles""]"
1682,"[u'metz', u'tude']"
1222,[u'universit\xe9 paris-nord']
1575,[u'paris dauphine']
1687,[u'aubi\xe8re']
1686,[u'laval']
1689,[]
1760,[u'caluire']
1574,[]
1269,"[u'clermont-ferrand ii', u'insa lyon']"
1268,[]
669,"[u'universit\xe9 de rennes', u'rennes']"
668,"[u'saclay', u'universit\xe9 paris-sud', u'orsay']"
1263,"[u'maguelonne', u'montpellier']"
666,"[u'universit\xe9 de gafsa', u'clermont']"
1261,"[u'rocquencourt', u'yvette']"
664,[]
1267,"[u'narbonne', u'toulouse']"
1266,"[u'universit\xe9 hassan ii', u'mohammedia']"
1265,[u'clamart']
1264,"[u'villeurbanne', u'universit\xe9 lyon 1']"
653,[u'villetaneuse']
1213,"[u'1050 bruxelles', u'universit\xe9 libre de bruxelles']"
692,"[u""universit\xe9 d'orl\xe9ans""]"
693,[u'new york']
690,[u'universit\xe9 de nantes']
696,[u'universit\xe9 lille 1']
697,[u'ephe']
694,"[u'institut sup\xe9rieur de gestion', u'tunis']"
695,"[u'villejuif', u'montpellier']"
698,"[u'bron', u'alger']"
699,[u'bron']
1409,"[u'guyancourt', u'villacoublay', u'v\xe9lizy']"
542,[]
543,"[u'n\xeemes', u'montpellier', u'universit\xe9 montpellier 2']"
540,"[u'universit\xe9 rennes 1', u'lannion']"
546,[]
547,"[u'saclay', u'universit\xe9 paris-sud', u'orsay']"
544,"[u'universit\xe9 paris 13', u'villetaneuse']"
548,"[u'brest', u'telecom bretagne', u'iroise']"
549,[u'villetaneuse']
1461,[u'sophia antipolis']
1462,"[u'maguelonne', u'n\xeemes', u'sophia antipolis', u'montpellier']"
997,[u'potenza']
122,"[u'rennes', u'martigny']"
123,[u'rennes']
124,"[u'agroparistech', u'montpellier']"
126,[u'bron']
127,"[u'az\xe9', u'palaiseau', u'montpellier', u'orsay', u'universit\xe9 paris-sud']"
128,[u'lannion']
129,"[u'ucbn', u""universit\xe9 d'orl\xe9ans"", u'caen', u'lannion']"
1406,[]
861,"[u'universit\xe9 de toulouse', u'narbonne', u'toulouse']"
1388,[u'bron']
1389,[]
860,"[u'universit\xe9 de lyon', u'universit\xe9 de saint-\xe9tienne', u'saint-\xe9tienne']"
1384,"[u'ivry', u'universit\xe9 de paris-sud 11', u'orsay']"
1385,[]
1386,"[u'toulouse', u'montpellier']"
1387,"[u'rocquencourt', u'recife', u'chesnay']"
1380,"[u'metz', u'compi\xe8gne', u'universit\xe9 de metz', u'universit\xe9 de technologie de compi\xe8gne']"
1381,"[u'orsay', u'universit\xe9 paris-sud', u'yokohama']"
1382,[]
136,"[u'rue turbigo', u'lannion']"
139,"[u'guyane', u'antilles']"
832,[u'orsay']
833,"[u'maguelonne', u'mende', u'montpellier']"
830,"[u'cergy-pontoise', u'montpellier']"
831,[u'paris-dauphine']
836,"[u'maguelonne', u'montpellier']"
837,"[u'guwahati', u'al\xe8s', u'n\xeemes', u'sophia antipolis', u'montpellier']"
834,"[u'maguelonne', u'mende', u'montpellier']"
835,"[u'chatou', u'villeurbanne', u'insa lyon', u'nouvelle-cal\xe9donie', u'noum\xe9a']"
838,[u'sophia antipolis']
839,"[u'chesnay', u'tunis', u'cnam', u'rue saint-martin']"
1255,[u'universit\xe9 claude bernard lyon 1']
368,[u'bron']
369,[u'lannion']
366,"[u'roubaix', u'neuilly-sur-seine', u'universit\xe9 fran\xe7ois-rabelais']"
367,[]
364,"[u'universit\xe9 de tunis', u'tunis', u'narbonne', u'toulouse']"
365,[]
362,"[u'cergy pontoise', u'cergy', u'lannion']"
363,"[u'sophia antipolis', u'saint-mand\xe9']"
360,"[u'lorient', u'blois', u'universit\xe9 fran\xe7ois-rabelais', u'universit\xe9 de bretagne-sud']"
361,[u'hec paris']
380,[u'universit\xe9 de strasbourg']
381,[u'university of glasgow']
382,[u'nancy-universit\xe9']
383,[u'universit\xe9 de bordeaux i']
384,"[u'universit\xe9 de reims champagne-ardenne', u'universit\xe9 paris viii']"
385,"[u'maguelonne', u'nouvelle-cal\xe9donie', u'montpellier', u'noum\xe9a']"
386,"[u'aalborg', u'maguelonne', u'montpellier', u'danemark']"
387,[u'sophia antipolis']
1644,[u'universit\xe9 jean monnet']
1647,"[u'versailles', u'universit\xe9 de versailles']"
1641,[]
1640,[u'villeurbanne']
1643,[]
1642,[]
1726,[u'issy-les-moulineaux']
1727,"[u'versailles', u'universit\xe9 de versailles']"
1724,[u'versailles']
1725,[]
1649,[u'al\xe8s']
1648,"[u'universit\xe9 lumi\xe8re lyon 2', u'bron']"
1720,[]
1721,"[u'maguelonne', u'montpellier', u'universit\xe9 montpellier 2']"
1223,"[u'universit\xe9 paul c\xe9zanne', u'marseille']"
729,"[u'insa de strasbourg', u'strasbourg']"
60,"[u'blois', u'universit\xe9 de caen basse-normandie', u'caen', u'universit\xe9 fran\xe7ois-rabelais']"
61,"[u'sorbonne universit\xe9s', u'universit\xe9 de namur', u'upmc']"
258,"[u'rue de tolbiac', u'universit\xe9 paris i']"
63,"[u'universit\xe9 de tunis', u'tunis']"
64,[u'universit\xe9 de bretagne sud']
65,"[u'universit\xe9 de tunis', u'ensma', u'universit\xe9 claude bernard lyon 1']"
66,[u'montigny-le-bretonneux']
67,"[u'montpellier', u'universit\xe9 montpellier 2']"
252,[u'ecole centrale paris']
253,[]
250,[]
251,"[u'es senia', u'baghdad']"
257,"[u'illkirch', u'universit\xe9 de strasbourg']"
254,"[u'rh\xf4ne-alpes', u'universit\xe9 de lyon', u'rh\xf4ne']"
255,"[u'montpellier', u'universit\xe9 de strasbourg', u'florence', u'universit\xe9 de montpellier 2', u'strasbourg']"
1421,[]
1420,[u'universit\xe9 laval']
1588,[u'sophia antipolis']
1589,[u'metz']
1425,[u'marseille']
1573,[u'universit\xe9 mohamed v']
1427,"[u'ben aknoun', u'alger']"
1426,[u'bron']
1429,"[u'brest', u'ensieta']"
1583,"[u'bron', u'mende']"
1580,[u'ujf']
1586,[]
1587,[u'belfort']
1584,[u'tunis']
1585,"[u'paris dauphine', u'laval']"
731,[]
730,"[u'montpellier', u'universit\xe9 montpellier 2']"
733,[u'lille']
732,"[u'nouvelle-cal\xe9donie', u'noum\xe9a']"
734,"[u'orsay', u'universit\xe9 paris-sud']"
508,[]
509,"[u'agroparistech', u'montpellier']"
506,[u'vergt']
507,"[u'nouvelle-cal\xe9donie', u'noum\xe9a']"
504,"[u'montpellier', u'universit\xe9 montpellier 3', u'universit\xe9 montpellier 2']"
505,[]
502,"[u'universit\xe9 de tunis', u'tunis']"
503,[u'universit\xe9 de nantes']
500,"[u'saint-mihiel', u'commercy']"
501,"[u'es senia', u'baghdad']"
630,[u'lille']
631,[u'tunis']
632,[]
1211,"[u'toulouse', u'florence']"
469,"[u'brest', u'ensieta', u'universit\xe9 mohammed v']"
468,[u'bron']
636,[u'tunis']
1215,"[u'laval', u'universit\xe9 paris sud', u'orsay']"
638,[]
639,"[u'villarceaux', u'nozay', u'villejust']"
1218,"[u'bobigny', u'universit\xe9 paris 13']"
1219,"[u'universit\xe9 de technologie de troyes', u'troyes']"
461,[]
460,[u'universit\xe9 de lille1']
463,"[u'grenoble', u'lannion']"
462,"[u'universit\xe9 de technologie de troyes', u'troyes']"
168,"[u'castets', u'montpellier']"
169,"[u'cnam', u'saint-mand\xe9']"
164,"[u'villeurbanne', u'universit\xe9 de lyon', u'universit\xe9 lyon 1']"
165,"[u'universit\xe9 de tunis', u'tunis']"
166,"[u""universit\xe9 d'orl\xe9ans""]"
167,[u't\xe9l\xe9com bretagne']
160,"[u'universit\xe9 de caen basse-normandie', u'ensicaen']"
161,"[u'universit\xe9 de lyon', u'villers-l\xe8s-nancy', u'nancy']"
162,"[u'universit\xe9 de caen basse-normandie', u'universit\xe9 de tunis', u'tunis', u""universit\xe9 d'orl\xe9ans""]"
163,[u'tunis']
1728,[u'universit\xe9 de nantes']
1729,[u'bron']
1454,[]
1455,[]
1456,"[u'rocquencourt', u'chesnay']"
1457,"[u'villeurbanne', u'insa lyon', u'universit\xe9 lyon 1', u'blagnac']"
1450,[u'tunis']
1451,[u'universit\xe9 paris 6']
1452,"[u'issy-les-moulineaux', u'lannion']"
1453,[u'cnam']
1458,"[u'szathmar', u'bruz', u'nancy', u'ensai']"
1459,[u'carquefou']
1722,[]
1723,[u'blois']
1390,"[u'villeurbanne', u'insa de lyon']"
1241,[]
878,"[u'brest', u'institut telecom', u'telecom bretagne']"
640,"[u'maguelonne', u'montpellier']"
876,"[u'toulouse', u'talence', u'universit\xe9 bordeaux 1']"
877,[u'lannion']
874,"[u'villeurbanne', u'insa lyon', u'universit\xe9 lyon 2', u'universit\xe9 lyon 1', u'ECL', u'nancy', u'vand\u0153uvre-l\xe8s-nancy']"
872,"[u'n\xeemes', u'guyane', u'antilles']"
873,"[u'rennes', u't\xe9l\xe9com bretagne', u'brest']"
871,[u'saint-etienne']
1242,[u'iae']
645,"[u'universit\xe9 de toulouse', u'narbonne', u'toulouse']"
644,[u'universit\xe9 de gen\xe8ve']
648,[u'tunis']
